Country Name,Country Code,Indicator Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Tajikistan,TJK,Adjusted net national income (current US$),3306287992,4598225451,4506101288,5871959986,6898047339,8258326547,9209801509,9968073859,8309156832,7147141262
Tonga,TON,Adjusted net national income (current US$),282873832.7,328012331.2,300890023.7,347491255,396259500.9,443210602,422937118.5,408697334.4,401316660.2,368036017.5
Trinidad and Tobago,TTO,Adjusted net national income (current US$),14924977554,19815880936,14046020101,16651647122,16383375035,16008374238,18004554462,17837438920,18930987339,17702073081
Tunisia,TUN,Adjusted net national income (current US$),29325196900,31985191801,33367520221,33475871797,34352088018,33883683440,34590123149,36355324049,33366338753,31794972347
Turkey,TUR,Adjusted net national income (current US$),5.65E+11,6.39E+11,5.31E+11,6.48E+11,7.04E+11,7.38E+11,8.06E+11,7.88E+11,7.23E+11,7.21E+11
Tanzania,TZA,Adjusted net national income (current US$),18970536639,24066103543,25104368931,27594502528,29796295867,34422532004,39865013449,43628616718,40612444876,42119896043
Uganda,UGA,Adjusted net national income (current US$),9292208848,10505210384,13966722835,15823094366,15313859814,17017225733,18008650553,20108784910,19401261578,16358291239
Ukraine,UKR,Adjusted net national income (current US$),1.19E+11,1.52E+11,94665869405,1.12E+11,1.33E+11,1.47E+11,1.53E+11,1.13E+11,77755078960,79890102467
Uruguay,URY,Adjusted net national income (current US$),20447964285,26116169522,27202478103,34067323580,41005542363,44043728892,49337474086,48807957213,45648464770,45163439372
United States,USA,Adjusted net national income (current US$),1.22E+13,1.23E+13,1.21E+13,1.27E+13,1.33E+13,1.40E+13,1.44E+13,1.51E+13,1.57E+13,1.60E+13
Uzbekistan,UZB,Adjusted net national income (current US$),17466454057,23319914869,27551223690,34575507169,38567678440,42636157105,50101635545,55320575983,59837140368,60062314591
St. Vincent and the Grenadines,VCT,Adjusted net national income (current US$),578676513.1,617016616.3,600411071.8,589543359.4,572542974.4,565569099.8,588722860.6,587796105,593365214,587328329.7
Vietnam,VNM,Adjusted net national income (current US$),62587438041,79287420511,85479634074,93905659143,1.08E+11,1.26E+11,1.39E+11,1.52E+11,1.59E+11,1.71E+11
Samoa,WSM,Adjusted net national income (current US$),451076357.7,526116212.4,469651795.5,549191517.9,630979830.6,677960937.9,685818279.3,688685062.6,699479491.5,682071965.7
"Yemen, Rep.",YEM,Adjusted net national income (current US$),14225282861,17772365366,19512065684,23325747586,25271181967,29412604506,33398451284,36365561121,34544305473,25758840629
South Africa,ZAF,Adjusted net national income (current US$),2.40E+11,2.20E+11,2.40E+11,3.02E+11,3.34E+11,3.20E+11,2.95E+11,2.82E+11,2.59E+11,2.39E+11
Zambia,ZMB,Adjusted net national income (current US$),9118969004,12504806898,11300370443,13589058855,16150014757,18898527559,20403303167,20611525768,16084402267,16037358550
Zimbabwe,ZWE,Adjusted net national income (current US$),4472659751,3599817447,6971372351,8000624746,8824355781,9727580408,11483203001,11962922957,11924360235,12120590946
"												",,,,,,,,,,,,
"												",,,,,,,,,,,,
"												",,,,,,,,,,,,
"												",,,,,,,,,,,,
